# Immunsvikt_v02
#gene symbol	refseq	x10
ACP5	NM_001111035.1	100
ADA	NM_000022.2	100
ADAR	NM_001111.4	100
AICDA	NM_020661.2	100
AIRE	NM_000383.3	100
ATM	NM_000051.3	100
B2M	NM_004048.2	100
BCL10	NM_003921.4	100
BLM	NM_000057.3	100
BLNK	NM_013314.3	100
BLOC1S6	NM_012388.2	100
BRIP1	NM_032043.2	100
BTK	NM_000061.2	100
C15orf41	NM_001130010.2	100
C1QA	NM_015991.2	100
C1QB	NM_000491.3	100
C1QC	NM_172369.3	100
C1S	NM_201442.2	100
C2	NM_000063.5	100
C3	NM_000064.3	100
C6	NM_000065.3	100
C7	NM_000587.2	100
C8A	NM_000562.2	100
C8B	NM_000066.3	100
C9	NM_001737.3	100
CA2	NM_000067.2	100
CARD11	NM_032415.5	100
CARD9	NM_052813.4	100
CASP10	NM_032977.3	100
CASP8	NM_001228.4	100
CD19	NM_001770.5	100
CD247	NM_198053.2	100
CD27	NM_001242.4	100
CD3D	NM_000732.4	100
CD3E	NM_000733.3	100
CD3G	NM_000073.2	100
CD40	NM_001250.5	100
CD79A	NM_001783.3	100
CD79B	NM_000626.2	100
CD81	NM_004356.3	100
CD8A	NM_001768.6	100
CDAN1	NM_138477.2	100
CEBPE	NM_001805.3	100
CFB	NM_001710.5	100
CFH	NM_000186.3	100
CFHR5	NM_030787.3	100
CFI	NM_000204.3	100
CHD7	NM_017780.3	100
CIITA	NM_000246.3	100
CLCN7	NM_001287.5	100
CLEC7A	NM_197947.2	100
COLEC11	NM_024027.4	100
COPA	NM_004371.3	100
CR2	NM_001006658.2	100
CSF2RA	NM_006140.4	100
CSF2RB	NM_000395.2	100
CTC1	NM_025099.5	100
CTLA4	NM_005214.4	100
CTPS1	NM_001905.3	100
CTSC	NM_001814.4	100
CXCR4	NM_003467.2	100
DCLRE1C	NM_001033855.2	100
DKC1	NM_001363.4	100
DNMT3B	NM_006892.3	100
DOCK2	NM_004946.2	100
DOCK8	NM_203447.3	100
DTNBP1	NM_032122.4	100
ELANE	NM_001972.2	100
ERCC2	NM_000400.3	100
ERCC3	NM_000122.1	100
ERCC4	NM_005236.2	100
ERCC6L2	NM_001010895.2	100
F12	NM_000505.3	100
FADD	NM_003824.3	100
FANCA	NM_000135.2	100
FANCC	NM_000136.2	100
FANCD2	NM_033084.3	100
FANCF	NM_022725.3	100
FANCG	NM_004629.1	100
FANCI	NM_001113378.1	100
FANCL	NM_018062.3	100
FASLG	NM_000639.2	100
FAS	NM_000043.4	100
FCGR3A	NM_000569.6	100
FCN3	NM_003665.2	100
FERMT3	NM_031471.5	100
FOXN1	NM_003593.2	100
FOXP3	NM_014009.3	100
G6PC3	NM_138387.3	100
G6PC	NM_000151.3	100
G6PD	NM_001042351.2	100
GATA1	NM_002049.3	100
GATA2	NM_032638.4	100
GFI1	NM_005263.3	100
GTF2H5	NM_207118.2	100
HAX1	NM_006118.3	100
HPS1	NM_000195.3	100
HPS3	NM_032383.3	100
HPS4	NM_022081.5	100
HPS5	NM_181507.1	100
HPS6	NM_024747.5	100
ICOS	NM_012092.3	100
IFIH1	NM_022168.3	100
IFNGR1	NM_000416.2	100
IGLL1	NM_020070.3	100
IKBKB	NM_001556.2	100
IKZF1	NM_006060.5	100
IL10	NM_000572.2	100
IL10RA	NM_001558.3	100
IL10RB	NM_000628.4	100
IL12B	NM_002187.2	100
IL12RB1	NM_005535.2	100
IL17F	NM_052872.3	100
IL17RA	NM_014339.6	100
IL17RC	NM_032732.5	100
IL1RN	NM_173841.2	100
IL21	NM_021803.3	100
IL21R	NM_021798.3	100
IL2RA	NM_000417.2	100
IL2RG	NM_000206.2	100
IL36RN	NM_012275.2	100
IL7R	NM_002185.3	100
IRAK4	NM_016123.3	100
IRF7	NM_004031.2	100
IRF8	NM_002163.2	100
ISG15	NM_005101.3	100
ITCH	NM_031483.5	100
ITGB2	NM_000211.4	100
ITK	NM_005546.3	100
JAGN1	NM_032492.3	100
KMT2D	NM_003482.3	100
LAMTOR2	NM_014017.3	100
LCK	NM_001042771.2	100
LIG4	NM_002312.3	100
LPIN2	NM_014646.2	100
LRBA	NM_006726.4	100
LRRC8A	NM_019594.3	100
MAGT1	NM_032121.5	100
MASP2	NM_006610.3	100
MBL2	NM_000242.2	100
MBTPS2	NM_015884.3	100
MCM4	NM_005914.3	100
MEFV	NM_000243.2	100
MLPH	NM_024101.6	100
MPO	NM_000250.1	100
MRE11A	NM_005591.3	100
MS4A1	NM_021950.3	100
MTHFD1	NM_005956.3	100
MVK	NM_000431.3	100
MYD88	NM_002468.4	100
MYH9	NM_002473.5	100
MYO5A	NM_000259.3	100
NBN	NM_002485.4	100
NCF2	NM_000433.3	100
NCF4	NM_013416.3	100
NFKB2	NM_001077494.3	100
NHEJ1	NM_024782.2	100
NHP2	NM_017838.3	100
NLRC4	NM_001199139.1	100
NLRP12	NM_144687.3	100
NLRP1	NM_033004.3	100
NLRP3	NM_004895.4	100
NOD2	NM_022162.2	100
NOP10	NM_018648.3	100
NRAS	NM_002524.4	100
PALB2	NM_024675.3	100
PARN	NM_002582.3	100
PGM3	NM_001199917.1	100
PIEZO1	NM_001142864.2	100
PIK3R1	NM_181523.2	100
PLCG2	NM_002661.4	100
PNP	NM_000270.3	100
POLE	NM_006231.3	100
PRF1	NM_001083116.1	100
PRKCD	NM_006254.3	100
PSMB8	NM_148919.3	100
PSTPIP1	NM_003978.3	100
RAB27A	NM_004580.4	100
RAC2	NM_002872.4	100
RAD51C	NM_058216.2	100
RAG1	NM_000448.2	100
RAG2	NM_000536.3	100
RASGRP2	NM_153819.1	100
RBM8A	NM_005105.4	100
RFX5	NM_000449.3	100
RFXANK	NM_003721.3	100
RFXAP	NM_000538.3	100
RHAG	NM_000324.2	100
RHOH	NM_004310.4	100
RNASEH2A	NM_006397.2	100
RNASEH2B	NM_024570.3	100
RNASEH2C	NM_032193.3	100
RNF168	NM_152617.3	100
RNF31	NM_017999.4	100
RORC	NM_005060.3	100
RPL11	NM_000975.3	100
RPL26	NM_000987.3	100
RPS10	NM_001014.4	100
RPS19	NM_001022.3	100
RPS29	NM_001032.4	100
RPSA	NM_002295.5	100
RUNX1	NM_001754.4	100
SAMHD1	NM_015474.3	100
SBDS	NM_016038.2	100
SERPING1	NM_000062.2	100
SH2D1A	NM_002351.4	100
SKIV2L	NM_006929.4	100
SLC29A3	NM_018344.5	100
SLC35C1	NM_018389.4	100
SLX4	NM_032444.2	100
SMARCAL1	NM_014140.3	100
SNX10	NM_001199835.1	100
SP110	NM_004509.3	100
SPINK5	NM_006846.3	100
STAT2	NM_005419.3	100
STAT3	NM_139276.2	100
STK4	NM_006282.2	100
STX11	NM_003764.3	100
STXBP2	NM_006949.3	100
TAP1	NM_000593.5	100
TAP2	NM_000544.3	100
TAPBP	NM_003190.4	100
TAZ	NM_000116.4	100
TCN2	NM_000355.3	100
TGFB1	NM_000660.5	100
THBD	NM_000361.2	100
TICAM1	NM_182919.3	100
TINF2	NM_001099274.1	100
TLR3	NM_003265.2	100
TMEM173	NM_198282.3	100
TNFRSF13B	NM_012452.2	100
TNFRSF13C	NM_052945.3	100
TNFRSF1A	NM_001065.3	100
TNFSF11	NM_003701.3	100
TPP2	NM_003291.2	100
TRAF3IP2	NM_147686.3	100
TRAF3	NM_003300.3	100
TREX1	NM_033629.4	100
TRNT1	NM_182916.2	100
TTC37	NM_014639.3	100
TTC7A	NM_020458.3	100
TYK2	NM_003331.4	100
UNC119	NM_005148.3	100
UNG	NM_080911.2	100
USB1	NM_024598.3	100
VPS13B	NM_017890.4	100
VPS45	NM_007259.4	100
WIPF1	NM_001077269.1	100
WRAP53	NM_018081.2	100
ZAP70	NM_001079.3	100
ZBTB24	NM_014797.2	100
