# TrioPU_v01
#gene symbol	refseq	x10
CREBBP	NM_004380.2	99.2667
ALG1	NM_019109.4	99.2867
ALG13	NM_001099922.2	99.3
BLM	NM_000057.3	99.3133
CAMTA1	NM_015215.3	99.34
MCOLN1	NM_020533.2	99.34
SCN8A	NM_014191.3	99.3467
TGFBR2	NM_003242.5	99.3533
SPG11	NM_025137.3	99.3733
BRWD3	NM_153252.4	99.38
FAM20C	NM_020223.3	99.38
HOXA1	NM_005522.4	99.38
PHIP	NM_017934.5	99.4
RNF168	NM_152617.3	99.4133
UMPS	NM_000373.3	99.4267
CEP63	NM_025180.3	99.4333
ATR	NM_001184.3	99.44
TAF2	NM_003184.3	99.44
ATIC	NM_004044.6	99.4467
LRPPRC	NM_133259.3	99.4533
KAT6B	NM_012330.3	99.4733
MGAT2	NM_002408.3	99.48
SYNGAP1	NM_006772.2	99.48
HSPG2	NM_005529.6	99.4867
FANCE	NM_021922.2	99.5267
CACNA1D	NM_000720.3	99.5333
CCDC22	NM_014008.4	99.5333
ASXL1	NM_015338.5	99.56
HPRT1	NM_000194.2	99.5667
ATRX	NM_000489.4	99.58
KDM6A	NM_021140.3	99.5867
LYST	NM_000081.3	99.5933
SLC5A5	NM_000453.2	99.5933
AUTS2	NM_015570.3	99.6
GFAP	NM_002055.4	99.6
ATP13A2	NM_022089.3	99.62
DBT	NM_001918.3	99.6333
VPS33B	NM_018668.4	99.64
COG7	NM_153603.3	99.6533
KCTD7	NM_153033.4	99.6533
PRKAR1A	NM_002734.4	99.6533
FMR1	NM_002024.5	99.66
LRP2	NM_004525.2	99.66
NIPBL	NM_133433.3	99.66
ATP6AP2	NM_005765.2	99.6733
SRCAP	NM_006662.2	99.6733
GNPTAB	NM_024312.4	99.68
PCNT	NM_006031.5	99.6867
SMARCA4	NM_001128849.1	99.6867
TFAP2B	NM_003221.3	99.6867
AFF2	NM_002025.3	99.6933
OFD1	NM_003611.2	99.6933
CC2D2A	NM_001080522.2	99.7
ERCC5	NM_000123.3	99.7
PRSS12	NM_003619.3	99.7
XPNPEP3	NM_022098.3	99.7
CEP57	NM_014679.4	99.7067
ERCC4	NM_005236.2	99.7267
EMX2	NM_004098.3	99.7333
ORC1	NM_004153.3	99.7333
SLC9A6	NM_006359.2	99.7333
CLN8	NM_018941.3	99.7467
C12orf57	NM_138425.3	99.76
KANSL1	NM_001193466.1	99.76
LAMC3	NM_006059.3	99.76
MAN2B1	NM_000528.3	99.76
MYO5A	NM_000259.3	99.7667
FANCB	NM_001018113.1	99.78
MMAA	NM_172250.2	99.78
GPC3	NM_004484.3	99.7867
MAT1A	NM_000429.2	99.7867
SPTAN1	NM_001130438.2	99.7867
COG8	NM_032382.4	99.7933
FANCG	NM_004629.1	99.8
MED12	NM_005120.2	99.8
ACAT1	NM_000019.3	99.8067
COL4A1	NM_001845.5	99.8067
HSPD1	NM_002156.4	99.8067
GAD1	NM_000817.2	99.8133
MKKS	NM_018848.3	99.82
KCNQ2	NM_172107.2	99.8267
NDUFV1	NM_007103.3	99.8267
HUWE1	NM_031407.6	99.8333
LAMA1	NM_005559.3	99.8333
PEX1	NM_000466.2	99.8333
SLC6A5	NM_004211.3	99.8333
EFTUD2	NM_004247.3	99.84
DMD	NM_004006.2	99.8467
ELP2	NM_001242875.1	99.8467
IL1RAPL1	NM_014271.3	99.8467
IRX5	NM_005853.5	99.8467
WNT3	NM_030753.4	99.8467
DLAT	NM_001931.4	99.8533
IDUA	NM_000203.4	99.8533
PEPD	NM_000285.3	99.8533
ACSL4	NM_004458.2	99.86
NPC1	NM_000271.4	99.86
PIGV	NM_017837.3	99.86
HDAC8	NM_018486.2	99.8667
LAMA2	NM_000426.3	99.8667
ROR2	NM_004560.3	99.8667
FLNA	NM_001456.3	99.8733
FOLR1	NM_016725.2	99.8733
SLC19A3	NM_025243.3	99.8733
BRIP1	NM_032043.2	99.88
CDON	NM_016952.4	99.88
SLC17A5	NM_012434.4	99.88
BMPER	NM_133468.4	99.8867
BBS7	NM_176824.2	99.8933
BTD	NM_000060.3	99.8933
EP300	NM_001429.3	99.8933
ALG9	NM_001077691.1	99.9
CACNA1C	NM_000719.6	99.9
PDSS2	NM_020381.3	99.9
SLC46A1	NM_080669.5	99.9
ALDH4A1	NM_003748.3	99.9067
CRBN	NM_016302.3	99.9067
SLC2A1	NM_006516.2	99.9067
DCAF17	NM_025000.3	99.92
DCX	NM_178153.2	99.92
SATB2	NM_015265.3	99.92
ALX4	NM_021926.3	99.9267
ISPD	NM_001101426.3	99.9267
NPHP1	NM_000272.3	99.9267
TSC1	NM_000368.4	99.9267
AP4E1	NM_007347.4	99.9333
GBA	NM_001005741.2	99.9333
GLI3	NM_000168.5	99.9333
ITPR1	NM_002222.5	99.9333
PDHX	NM_003477.2	99.9333
RECQL4	NM_004260.3	99.9333
RELN	NM_005045.3	99.9333
SLC4A4	NM_003759.3	99.9333
SMPD1	NM_000543.4	99.9333
ACVR1	NM_001105.4	99.94
CLN6	NM_017882.2	99.94
DYNC1H1	NM_001376.4	99.94
TSEN2	NM_025265.3	99.94
AGL	NM_000642.2	99.9467
MUT	NM_000255.3	99.9467
PLP1	NM_000533.4	99.9467
SCO1	NM_004589.3	99.9467
USP9X	NM_001039590.2	99.9467
CUL4B	NM_003588.3	99.9533
DKC1	NM_001363.4	99.9533
FH	NM_000143.3	99.9533
GCH1	NM_000161.2	99.9533
SLC2A2	NM_000340.1	99.9533
TTI2	NM_001102401.2	99.9533
VPS13B	NM_017890.4	99.9533
ARFGEF2	NM_006420.2	99.96
CTSA	NM_000308.2	99.96
ITCH	NM_031483.5	99.96
STIL	NM_003035.2	99.96
UBE2A	NM_003336.3	99.96
MED23	NM_015979.3	99.9667
NUBPL	NM_025152.2	99.9667
POLR3A	NM_007055.3	99.9667
RAB3GAP2	NM_012414.3	99.9667
TSEN34	NM_024075.4	99.9667
WNT5A	NM_003392.4	99.9667
ADAR	NM_001111.4	99.9733
ASPA	NM_000049.2	99.9733
PAK3	NM_002578.3	99.9733
CEP290	NM_025114.3	99.98
EIF2AK3	NM_004836.5	99.98
ERCC2	NM_000400.3	99.98
FBN1	NM_000138.4	99.98
NPHP3	NM_153240.4	99.98
OCRL	NM_000276.3	99.98
RAD50	NM_005732.3	99.98
SIX3	NM_005413.3	99.98
ZFYVE26	NM_015346.3	99.98
CAV1	NM_001753.4	99.9867
CEP152	NM_014985.3	99.9867
CNTNAP2	NM_014141.5	99.9867
IFT140	NM_014714.3	99.9867
NSD1	NM_022455.4	99.9867
PLA2G6	NM_003560.2	99.9867
RANBP2	NM_006267.4	99.9867
SLC16A2	NM_006517.4	99.9867
TMEM165	NM_018475.4	99.9867
WDR35	NM_001006657.1	99.9867
ABCC9	NM_005691.3	99.9933
ALDH3A2	NM_000382.2	99.9933
BIN1	NM_139343.2	99.9933
CAPN10	NM_023083.3	99.9933
CPS1	NM_001875.4	99.9933
GALC	NM_000153.3	99.9933
GFM1	NM_024996.5	99.9933
GNPAT	NM_014236.3	99.9933
GPSM2	NM_013296.4	99.9933
KIF1A	NM_004321.6	99.9933
L2HGDH	NM_024884.2	99.9933
MBD5	NM_018328.4	99.9933
MED17	NM_004268.4	99.9933
PGK1	NM_000291.3	99.9933
PIGN	NM_176787.4	99.9933
RAF1	NM_002880.3	99.9933
RAI1	NM_030665.3	99.9933
RPGRIP1L	NM_015272.2	99.9933
SCN2A	NM_021007.2	99.9933
SRPX2	NM_014467.2	99.9933
TBCE	NM_003193.4	99.9933
TH	NM_199292.2	99.9933
TTC37	NM_014639.3	99.9933
TUBGCP6	NM_020461.3	99.9933
AAAS	NM_015665.5	100
AASS	NM_005763.3	100
ABCB7	NM_004299.4	100
ABCD4	NM_005050.3	100
ACAD9	NM_014049.4	100
ACADM	NM_000016.5	100
ACADS	NM_000017.3	100
ACADVL	NM_000018.3	100
ACO2	NM_001098.2	100
ACOX1	NM_004035.6	100
ACTA2	NM_001613.2	100
ACTB	NM_001101.3	100
ACTG1	NM_001614.3	100
ACY1	NM_000666.2	100
ADCK3	NM_020247.4	100
ADK	NM_001123.3	100
ADNP	NM_015339.3	100
ADRA2B	NM_000682.6	100
ADSL	NM_000026.2	100
AGA	NM_000027.3	100
AGK	NM_018238.3	100
AGXT	NM_000030.2	100
AIFM1	NM_004208.3	100
AIMP1	NM_004757.3	100
AKT1	NM_005163.2	100
AKT3	NM_005465.4	100
ALDH18A1	NM_002860.3	100
ALDH7A1	NM_001182.4	100
ALDOA	NM_000034.3	100
ALDOB	NM_000035.3	100
ALG11	NM_001004127.2	100
ALG12	NM_024105.3	100
ALG2	NM_033087.3	100
ALG3	NM_005787.5	100
ALG6	NM_013339.3	100
ALG8	NM_024079.4	100
ALPL	NM_000478.4	100
ALX1	NM_006982.2	100
AMER1	NM_152424.3	100
AMT	NM_000481.3	100
ANKRD11	NM_013275.5	100
AP1S2	NM_003916.4	100
AP4M1	NM_004722.3	100
AP4S1	NM_007077.4	100
APTX	NM_175073.2	100
ARG1	NM_000045.3	100
ARHGAP31	NM_020754.3	100
ARHGEF6	NM_004840.2	100
ARL6	NM_177976.2	100
ARSA	NM_000487.5	100
ARSE	NM_000047.2	100
ASAH1	NM_177924.3	100
ASL	NM_000048.3	100
ASPM	NM_018136.4	100
ASS1	NM_000050.4	100
ATP1A3	NM_152296.4	100
AUH	NM_001698.2	100
BBS10	NM_024685.3	100
BBS1	NM_024649.4	100
BBS2	NM_031885.3	100
BBS4	NM_033028.4	100
BBS5	NM_152384.2	100
BBS9	NM_198428.2	100
BCAP31	NM_001139441.1	100
BCKDHA	NM_000709.3	100
BCKDHB	NM_183050.2	100
BCS1L	NM_004328.4	100
BMP4	NM_001202.3	100
BOLA3	NM_212552.2	100
BRCA2	NM_000059.3	100
BSND	NM_057176.2	100
BUB1B	NM_001211.5	100
C12orf65	NM_152269.4	100
CA2	NM_000067.2	100
CA8	NM_004056.4	100
CASP2	NM_032982.3	100
CBL	NM_005188.3	100
CBS	NM_000071.2	100
CC2D1A	NM_017721.4	100
CCBE1	NM_133459.3	100
CDC6	NM_001254.3	100
CDH15	NM_004933.2	100
CDK5RAP2	NM_018249.5	100
CDKL5	NM_003159.2	100
CENPJ	NM_018451.4	100
CEP135	NM_025009.4	100
CEP41	NM_018718.2	100
CHD2	NM_001271.3	100
CHD7	NM_017780.3	100
CLN3	NM_001042432.1	100
CLN5	NM_006493.2	100
COA5	NM_001008215.2	100
COG4	NM_015386.2	100
COG5	NM_006348.3	100
COL4A2	NM_001846.2	100
COLEC11	NM_024027.4	100
COQ2	NM_015697.7	100
COX10	NM_001303.3	100
COX15	NM_004376.5	100
CRADD	NM_003805.3	100
CSTB	NM_000100.3	100
CTC1	NM_025099.5	100
CTNNB1	NM_001904.3	100
DAG1	NM_004393.5	100
DARS2	NM_018122.4	100
DDC	NM_000790.3	100
DDOST	NM_005216.4	100
DDX11	NM_030653.3	100
DHCR24	NM_014762.3	100
DHCR7	NM_001360.2	100
DHFR	NM_000791.3	100
DIP2B	NM_173602.2	100
DIS3L2	NM_152383.4	100
DLD	NM_000108.4	100
DMPK	NM_004409.4	100
DNMT3A	NM_175629.2	100
DNMT3B	NM_006892.3	100
DOLK	NM_014908.3	100
DPAGT1	NM_001382.3	100
DPM1	NM_003859.1	100
DYM	NM_017653.3	100
DYRK1A	NM_001396.3	100
EBP	NM_006579.2	100
ELAC2	NM_018127.6	100
ELOVL4	NM_022726.3	100
ERCC1	NM_202001.2	100
ERCC3	NM_000122.1	100
ERCC6	NM_000124.3	100
ERCC8	NM_000082.3	100
ERLIN2	NM_007175.6	100
ESCO2	NM_001017420.2	100
ETFA	NM_000126.3	100
ETFB	NM_001985.2	100
ETFDH	NM_004453.3	100
ETHE1	NM_014297.3	100
EVC2	NM_147127.4	100
EXOSC3	NM_016042.3	100
FAM126A	NM_032581.3	100
FAM134B	NM_001034850.2	100
FANCA	NM_000135.2	100
FANCC	NM_000136.2	100
FANCD2	NM_033084.3	100
FANCF	NM_022725.3	100
FANCI	NM_001113378.1	100
FANCL	NM_018062.3	100
FBP1	NM_000507.3	100
FGFR1	NM_023110.2	100
FIG4	NM_014845.5	100
FKTN	NM_001079802.1	100
FOXP1	NM_032682.5	100
FOXRED1	NM_017547.3	100
FTL	NM_000146.3	100
FTSJ1	NM_012280.3	100
FUCA1	NM_000147.4	100
GAA	NM_000152.3	100
GABRA1	NM_000806.5	100
GABRB3	NM_000814.5	100
GALE	NM_000403.3	100
GALT	NM_000155.3	100
GATM	NM_001482.2	100
GCDH	NM_000159.3	100
GFER	NM_005262.2	100
GJA1	NM_000165.4	100
GK	NM_000167.5	100
GLB1	NM_000404.2	100
GLUD1	NM_005271.3	100
GLUL	NM_002065.6	100
GM2A	NM_000405.4	100
GNS	NM_002076.3	100
GPR56	NM_005682.6	100
GRIA3	NM_000828.4	100
GRIK2	NM_021956.4	100
GRIN1	NM_007327.3	100
GRM1	NM_001278066.1	100
GTF2H5	NM_207118.2	100
GUSB	NM_000181.3	100
HADH	NM_005327.4	100
HCCS	NM_005333.4	100
HDAC4	NM_006037.3	100
HESX1	NM_003865.2	100
HEXA	NM_000520.4	100
HEXB	NM_000521.3	100
HIBCH	NM_014362.3	100
HLCS	NM_000411.6	100
HMGCL	NM_000191.2	100
HPD	NM_002150.2	100
HRAS	NM_005343.2	100
HSD17B10	NM_004493.2	100
HSD17B4	NM_000414.3	100
HYLS1	NM_145014.2	100
IFIH1	NM_022168.3	100
IGBP1	NM_001551.2	100
IGF1	NM_000618.3	100
ITGA7	NM_002206.2	100
IVD	NM_002225.3	100
JAM3	NM_032801.4	100
KANK1	NM_015158.3	100
KCNJ10	NM_002241.4	100
KCNMA1	NM_002247.3	100
KDM5C	NM_004187.3	100
KIAA0226	NM_001145642.3	100
KIAA2022	NM_001008537.2	100
KIF11	NM_004523.3	100
KIRREL3	NM_032531.3	100
KRAS	NM_004985.4	100
L1CAM	NM_000425.4	100
LAMB1	NM_002291.2	100
LAMP2	NM_002294.2	100
LARGE	NM_004737.4	100
LIG4	NM_002312.3	100
LMBRD1	NM_018368.3	100
MAN1B1	NM_016219.4	100
MANBA	NM_005908.3	100
MAOA	NM_000240.3	100
MAP2K1	NM_002755.3	100
MASP1	NM_139125.3	100
MCCC1	NM_020166.4	100
MCCC2	NM_022132.4	100
MCPH1	NM_024596.3	100
MECP2	NM_004992.3	100
MEF2C	NM_002397.4	100
MEGF10	NM_032446.2	100
MFSD8	NM_152778.2	100
MGP	NM_000900.3	100
MKS1	NM_017777.3	100
MLC1	NM_015166.3	100
MMAB	NM_052845.3	100
MMADHC	NM_015702.2	100
MOCS1	NM_005943.5	100
MOCS2	NM_176806.3	100
MOGS	NM_006302.2	100
MPDU1	NM_004870.3	100
MPLKIP	NM_138701.3	100
MPV17	NM_002437.4	100
MRE11A	NM_005591.3	100
MTHFR	NM_005957.4	100
MTO1	NM_012123.3	100
MTR	NM_000254.2	100
MTRR	NM_002454.2	100
MYH3	NM_002470.3	100
NAGA	NM_000262.2	100
NBN	NM_002485.4	100
NDP	NM_000266.3	100
NDST1	NM_001543.4	100
NDUFA1	NM_004541.3	100
NDUFAF2	NM_174889.4	100
NDUFS1	NM_005006.6	100
NDUFS4	NM_002495.2	100
NDUFS7	NM_024407.4	100
NDUFS8	NM_002496.3	100
NEK1	NM_012224.2	100
NEU1	NM_000434.3	100
NFU1	NM_001002755.2	100
NHP2	NM_017838.3	100
NOP10	NM_018648.3	100
NPC2	NM_006432.3	100
NSDHL	NM_015922.2	100
NSUN2	NM_017755.5	100
OTC	NM_000531.5	100
OTX2	NM_001270524.1	100
PAFAH1B1	NM_000430.3	100
PAH	NM_000277.1	100
PALB2	NM_024675.3	100
PAX8	NM_003466.3	100
PCCB	NM_000532.4	100
PCDH19	NM_001184880.1	100
PC	NM_000920.3	100
PDHA1	NM_000284.3	100
PEX12	NM_000286.2	100
PEX13	NM_002618.3	100
PEX14	NM_004565.2	100
PEX16	NM_004813.2	100
PEX19	NM_002857.3	100
PEX2	NM_000318.2	100
PEX3	NM_003630.2	100
PEX5	NM_001131025.1	100
PEX7	NM_000288.3	100
PHF6	NM_032458.2	100
PHF8	NM_015107.2	100
PHGDH	NM_006623.3	100
PIGA	NM_002641.3	100
PIGL	NM_004278.3	100
PIGO	NM_032634.3	100
PLCB1	NM_015192.3	100
PMM2	NM_000303.2	100
PNKP	NM_007254.3	100
POGZ	NM_015100.3	100
POLR3B	NM_018082.5	100
POMGNT1	NM_017739.3	100
POMGNT2	NM_032806.5	100
POMT1	NM_007171.3	100
POMT2	NM_013382.5	100
PORCN	NM_203475.2	100
POU1F1	NM_000306.3	100
PPP2R1A	NM_014225.5	100
PPT1	NM_000310.3	100
PQBP1	NM_005710.2	100
PRPS1	NM_002764.3	100
PRRX1	NM_022716.3	100
PSAP	NM_002778.2	100
PSAT1	NM_058179.3	100
PSPH	NM_004577.3	100
PTEN	NM_000314.5	100
PTS	NM_000317.2	100
PYCR1	NM_006907.3	100
QDPR	NM_000320.2	100
RAB23	NM_183227.2	100
RAB3GAP1	NM_012233.2	100
RAD21	NM_006265.2	100
RAD51C	NM_058216.2	100
RARS2	NM_020320.3	100
RBM10	NM_005676.4	100
RBM28	NM_018077.2	100
RFT1	NM_052859.3	100
RNASEH2A	NM_006397.2	100
RNASEH2C	NM_032193.3	100
RNASET2	NM_003730.4	100
RPS19	NM_001022.3	100
SACS	NM_014363.5	100
SAMHD1	NM_015474.3	100
SBDS	NM_016038.2	100
SC5D	NM_006918.4	100
SCN1A	NM_001165963.1	100
SCO2	NM_005138.2	100
SDCCAG8	NM_006642.3	100
SHOC2	NM_007373.3	100
SIL1	NM_022464.4	100
SLC12A6	NM_133647.1	100
SLC22A5	NM_003060.3	100
SLC25A15	NM_014252.3	100
SLC25A20	NM_000387.5	100
SLC25A22	NM_024698.5	100
SLC2A10	NM_030777.3	100
SLC33A1	NM_004733.3	100
SLC35C1	NM_018389.4	100
SLC6A3	NM_001044.4	100
SLX4	NM_032444.2	100
SMARCB1	NM_003073.3	100
SMARCE1	NM_003079.4	100
SMC1A	NM_006306.3	100
SMC3	NM_005445.3	100
SMOC1	NM_001034852.2	100
SNAP29	NM_004782.3	100
SNIP1	NM_024700.3	100
SOS1	NM_005633.3	100
SOX2	NM_003106.3	100
SPR	NM_003124.4	100
SRD5A3	NM_024592.4	100
ST3GAL3	NM_006279.3	100
STRA6	NM_022369.3	100
STXBP1	NM_003165.3	100
SUCLG1	NM_003849.3	100
SUMF1	NM_182760.3	100
SYP	NM_003179.2	100
TAC3	NM_013251.3	100
TAT	NM_000353.2	100
TAZ	NM_000116.4	100
TBC1D24	NM_001199107.1	100
TCF4	NM_001083962.1	100
TCTN1	NM_001082538.2	100
TCTN2	NM_024809.4	100
TGIF1	NM_173208.2	100
THRA	NM_199334.3	100
TIMM8A	NM_004085.3	100
TK2	NM_004614.4	100
TMCO1	NM_019026.4	100
TMEM216	NM_001173990.2	100
TMEM237	NM_001044385.2	100
TMEM67	NM_153704.5	100
TMEM70	NM_017866.5	100
TPP1	NM_000391.3	100
TRAPPC9	NM_031466.6	100
TREX1	NM_033629.4	100
TRIM32	NM_012210.3	100
TSC2	NM_000548.3	100
TSPAN7	NM_004615.3	100
TTC8	NM_198309.3	100
TUBA1A	NM_006009.3	100
TUFM	NM_003321.4	100
TUSC3	NM_006765.3	100
UBE3A	NM_130838.1	100
UBR1	NM_174916.2	100
UGT1A1	NM_000463.2	100
UPF3B	NM_080632.2	100
UQCRB	NM_006294.4	100
UQCRQ	NM_014402.4	100
UROC1	NM_144639.2	100
VIPAS39	NM_022067.3	100
VRK1	NM_003384.2	100
WDR19	NM_025132.3	100
WDR45	NM_007075.3	100
WDR62	NM_001083961.1	100
YAP1	NM_001130145.2	100
ZDHHC15	NM_001146256.1	100
ZDHHC9	NM_016032.3	100
ZEB2	NM_014795.3	100
ZNF711	NM_021998.4	100
