# BevegForst_v01draft
#gene symbol	refseq	x10
ELOVL5	NM_021814.4	100
ENTPD1	NM_001776.5	100
ERLIN2	NM_007175.6	100
EXOSC8	NM_181503.2	100
FA2H	NM_024306.4	100
FBXO7	NM_012179.3	100
FGF14	NM_004115.3	100
FLVCR1	NM_014053.3	100
FOLR1	NM_016725.2	100
FTL	NM_000146.3	100
GALC	NM_000153.3	100
GAMT	NM_000156.5	100
GAN	NM_022041.3	100
GBA2	NM_020944.2	100
GBA	NM_001005741.2	100
GCDH	NM_000159.3	100
GCH1	NM_000161.2	100
GFAP	NM_002055.4	100
GIF	NM_005142.2	100
GLB1	NM_000404.2	100
GNAL	NM_001142339.2	100
GOSR2	NM_004287.3	100
GRID2	NM_001510.3	100
GRM1	NM_001278066.1	100
HEXB	NM_000521.3	100
HMGCL	NM_000191.2	100
HMGCS2	NM_005518.3	100
HSD17B10	NM_004493.2	100
ITPR1	NM_002222.5	100
KCNA1	NM_000217.2	100
KCND3	NM_004980.4	100
KCNJ10	NM_002241.4	100
KCNMA1	NM_002247.3	100
KIAA0196	NM_014846.3	100
KIF1A	NM_004321.6	100
KIF1C	NM_006612.5	100
KIF5A	NM_004984.2	100
MAG	NM_002361.3	100
MICU1	NM_006077.3	100
MMAA	NM_172250.2	100
MMAB	NM_052845.3	100
MMACHC	NM_015506.2	100
MRE11A	NM_005591.3	100
MTHFR	NM_005957.4	100
MTPAP	NM_018109.3	100
MTR	NM_000254.2	100
MTRR	NM_002454.2	100
MTTP	NM_000253.3	100
MUT	NM_000255.3	100
NIPA1	NM_144599.4	100
NKX2-1	NM_001079668.2	100
NPC1	NM_000271.4	100
NPC2	NM_006432.3	100
NT5C2	NM_012229.4	100
NUP62	NM_001193357.1	100
OPA1	NM_015560.2	100
OPHN1	NM_002547.2	100
OXCT1	NM_000436.3	100
PANK2	NM_153638.2	100
PARK2	NM_004562.2	100
PARK7	NM_007262.4	100
PCBD1	NM_000281.3	100
PCCB	NM_000532.4	100
PDE10A	NM_001130690.2	100
PDE8B	NM_003719.3	100
PDGFB	NM_002608.2	100
PDHX	NM_003477.2	100
PDYN	NM_024411.4	100
PEX10	NM_153818.1	100
PGAP1	NM_024989.3	100
PHYH	NM_006214.3	100
PIK3R5	NM_001142633.2	100
PLA2G6	NM_003560.2	100
PLP1	NM_000533.4	100
PNKD	NM_015488.4	100
POLG	NM_002693.2	100
POLR3A	NM_007055.3	100
POLR3B	NM_018082.5	100
PRKCG	NM_002739.3	100
PRKRA	NM_003690.4	100
PRRT2	NM_145239.2	100
PTS	NM_000317.2	100
QDPR	NM_000320.2	100
RARS2	NM_020320.3	100
REEP1	NM_022912.2	100
RNF170	NM_001160223.1	100
RTN2	NM_005619.4	100
SACS	NM_014363.5	100
SAMHD1	NM_015474.3	100
SEPSECS	NM_016955.3	100
SERAC1	NM_032861.3	100
SETX	NM_015046.5	100
SGCE	NM_003919.2	100
SIL1	NM_022464.4	100
SLC19A3	NM_025243.3	100
SLC1A3	NM_004172.4	100
SLC20A2	NM_006749.4	100
SLC2A1	NM_006516.2	100
SLC30A10	NM_018713.2	100
SLC33A1	NM_004733.3	100
SLC52A2	NM_024531.4	100
SLC52A3	NM_033409.3	100
SLC6A3	NM_001044.4	100
SLC9A6	NM_006359.2	100
SMPD1	NM_000543.4	100
SNCA	NM_000345.3	100
SNX14	NM_020468.5	100
SPAST	NM_014946.3	100
SPG11	NM_025137.3	100
SPG20	NM_015087.4	100
SPG21	NM_016630.6	100
SPR	NM_003124.4	100
SPTBN2	NM_006946.2	100
STUB1	NM_005861.3	100
SUOX	NM_000456.2	100
SYNE1	NM_033071.3	100
TDP1	NM_018319.3	100
TECPR2	NM_014844.3	100
THAP1	NM_018105.2	100
TMEM240	NM_001114748.1	100
TOR1A	NM_000113.2	100
TPP1	NM_000391.3	100
TSEN2	NM_025265.3	100
TTBK2	NM_173500.3	100
TTPA	NM_000370.3	100
TUBB4A	NM_006087.3	100
VAMP1	NM_014231.4	100
VLDLR	NM_003383.3	100
VPS53	NM_001128159.2	100
VRK1	NM_003384.2	100
WDR81	NM_001163809.1	100
WWOX	NM_016373.3	100
XK	NM_021083.2	100
XPR1	NM_004736.3	100
ZFYVE26	NM_015346.3	100
