# Mitokon_v02
#gene symbol	refseq	x10
HLCS	NM_000411.6	100
IARS2	NM_018060.3	100
IDH2	NM_002168.3	100
ISCU	NM_213595.3	100
KARS	NM_001130089.1	100
LARS2	NM_015340.3	100
LIAS	NM_006859.3	100
LIPT1	NM_145199.2	100
LONP1	NM_001276480.1	100
LYRM4	NM_020408.5	100
LYRM7	NM_181705.3	100
MARS2	NM_138395.3	100
MFN2	NM_014874.3	100
MGME1	NM_052865.2	100
MICU1	NM_006077.3	100
MPC1	NM_016098.3	100
MPV17	NM_002437.4	100
MRPL44	NM_022915.3	100
MRPS16	NM_016065.3	100
MRPS22	NM_020191.2	100
MRPS23	NM_016070.3	100
MRPS7	NM_015971.3	100
MTFMT	NM_139242.3	100
MTPAP	NM_018109.3	100
NADK2	NM_001287340.1	100
NDUFA11	NM_175614.4	100
NDUFA12	NM_018838.4	100
NDUFA13	NM_015965.6	100
NDUFA1	NM_004541.3	100
NDUFA2	NM_002488.4	100
NDUFA4	NM_002489.3	100
NDUFA8	NM_014222.2	100
NDUFA9	NM_005002.4	100
NDUFAF1	NM_016013.3	100
NDUFAF3	NM_199069.1	100
NDUFAF4	NM_014165.3	100
NDUFAF5	NM_024120.4	100
NDUFAF6	NM_152416.3	100
NDUFB3	NM_002491.2	100
NDUFB9	NM_005005.2	100
NDUFS1	NM_005006.6	100
NDUFS2	NM_004550.4	100
NDUFS3	NM_004551.2	100
NDUFS4	NM_002495.2	100
NDUFS6	NM_004553.4	100
NDUFS7	NM_024407.4	100
NDUFS8	NM_002496.3	100
NDUFV1	NM_007103.3	100
NDUFV2	NM_021074.4	100
NFU1	NM_001002755.2	100
NUBPL	NM_025152.2	100
OGDH	NM_002541.3	100
OPA1	NM_015560.2	100
OPA3	NM_025136.3	100
OTC	NM_000531.5	100
OXCT1	NM_000436.3	100
PANK2	NM_153638.2	100
PARS2	NM_152268.3	100
PC	NM_000920.3	100
PDHB	NM_000925.3	100
PDHX	NM_003477.2	100
PDP1	NM_018444.3	100
PET100	NM_001171155.1	100
PNPLA2	NM_020376.3	100
PNPLA4	NM_004650.2	100
PNPT1	NM_033109.4	100
POLG	NM_002693.2	100
PTCD1	NM_015545.3	100
PTRH2	NM_016077.3	100
PUS1	NM_025215.5	100
QARS	NM_005051.2	100
QRSL1	NM_018292.4	100
RARS2	NM_020320.3	100
RMND1	NM_017909.3	100
RRM2B	NM_015713.4	100
SACS	NM_014363.5	100
SAMHD1	NM_015474.3	100
SARS2	NM_017827.3	100
SCO1	NM_004589.3	100
SCO2	NM_005138.2	100
SDHAF1	NM_001042631.2	100
SERAC1	NM_032861.3	100
SFXN4	NM_213649.1	100
SLC19A2	NM_006996.2	100
SLC19A3	NM_025243.3	100
SLC25A12	NM_003705.4	100
SLC25A13	NM_014251.2	100
SLC25A20	NM_000387.5	100
SLC25A22	NM_024698.5	100
SLC25A26	NM_173471.3	100
SLC25A38	NM_017875.2	100
SLC25A3	NM_005888.3	100
SLC25A46	NM_138773.2	100
SLC25A4	NM_001151.3	100
SUCLG1	NM_003849.3	100
TACO1	NM_016360.3	100
TARS2	NM_025150.4	100
TAZ	NM_000116.4	100
TMEM126A	NM_032273.3	100
TMEM70	NM_017866.5	100
TPK1	NM_022445.3	100
TRIT1	NM_017646.4	100
TRMT5	NM_020810.3	100
TRMU	NM_018006.4	100
TRNT1	NM_182916.2	100
TSFM	NM_001172696.1	100
TUFM	NM_003321.4	100
TXN2	NM_012473.3	100
TYMP	NM_001953.4	100
UQCC2	NM_032340.3	100
UQCRB	NM_006294.4	100
UQCRC2	NM_003366.2	100
UQCRQ	NM_014402.4	100
VARS2	NM_001167734.1	100
WFS1	NM_006005.3	100
WWOX	NM_016373.3	100
YARS2	NM_001040436.2	100
